縣市,模型,預測人口,實際人口,MAE,MAPE,MSE
基隆市,LinearRegression,362304,361441,863,0.2387664930099242,744769
新北市,LinearRegression,4041089,4047001,5912,0.1460834825590604,34951744
臺北市,LinearRegression,2510451,2490869,19582,0.7861513391511156,383454724
桃園市,LinearRegression,2312014,2338648,26634,1.1388631380182055,709369956
新竹市,LinearRegression,456564,457242,678,0.14828034170089363,459684
新竹縣,LinearRegression,589335,594641,5306,0.8923030870727044,28153636
苗栗縣,LinearRegression,533812,532854,958,0.17978658319164348,917764
臺中市,LinearRegression,2845966,2860601,14635,0.5116057779466623,214183225
南投縣,LinearRegression,476883,472299,4584,0.9705716082396957,21013056
彰化縣,LinearRegression,1238585,1225675,12910,1.0532971627878516,166668100
雲林縣,LinearRegression,659756,658427,1329,0.20184469956426454,1766241
嘉義縣,LinearRegression,484542,478786,5756,1.2022072491676865,33131536
嘉義市,LinearRegression,263604,262177,1427,0.5442887820060494,2036329
臺南市,LinearRegression,1860201,1858651,1550,0.08339381626782004,2402500
高雄市,LinearRegression,2737424,2731412,6012,0.2201059378812131,36144144
屏東縣,LinearRegression,795107,789239,5868,0.7435010180693047,34433424
宜蘭縣,LinearRegression,449884,449212,672,0.14959529131011637,451584
花蓮縣,LinearRegression,317456,315374,2082,0.6601685617711035,4334724
臺東縣,LinearRegression,211480,210219,1261,0.5998506319600037,1590121
澎湖縣,LinearRegression,107737,107901,164,0.15199117709752458,26896
金門縣,LinearRegression,144960,143601,1359,0.9463722397476341,1846881
連江縣,LinearRegression,14000,13950,50,0.35842293906810035,2500
基隆市,RandomForest,363297,361441,1856,0.5135001286517025,3444736
新北市,RandomForest,4014007,4047001,32994,0.8152703693426318,1088604036
臺北市,RandomForest,2536330,2490869,45461,1.8251060172172844,2066702521
桃園市,RandomForest,2248308,2338648,90340,3.86291566751388,8161315600
新竹市,RandomForest,451316,457242,5926,1.2960314231850967,35117476
新竹縣,RandomForest,576103,594641,18538,3.117511237872935,343657444
苗栗縣,RandomForest,537059,532854,4205,0.7891467456376419,17682025
臺中市,RandomForest,2806329,2860601,54272,1.8972236953003934,2945449984
南投縣,RandomForest,484097,472299,11798,2.4979938555872447,139192804
彰化縣,RandomForest,1255308,1225675,29633,2.4176882126175374,878114689
雲林縣,RandomForest,669406,658427,10979,1.6674589590038074,120538441
嘉義縣,RandomForest,492956,478786,14170,2.9595685755222583,200788900
嘉義市,RandomForest,263794,262177,1617,0.6167589071505128,2614689
臺南市,RandomForest,1861095,1858651,2444,0.13149321739261433,5973136
高雄市,RandomForest,2743704,2731412,12292,0.45002365077110296,151093264
屏東縣,RandomForest,807665,789239,18426,2.3346540148168047,339517476
宜蘭縣,RandomForest,450153,449212,941,0.20947793024229094,885481
花蓮縣,RandomForest,322302,315374,6928,2.196756866450627,47997184
臺東縣,RandomForest,215071,210219,4852,2.308069204020569,23541904
澎湖縣,RandomForest,106621,107901,1280,1.1862726017367773,1638400
金門縣,RandomForest,140344,143601,3257,2.268090055083182,10608049
連江縣,RandomForest,13555,13950,395,2.8315412186379927,156025
